Entidad Federativa,Año,Producto Interno Bruto                       (Miles de pesos),"Gasto Total en Salud
(I.1 + I.2)","I.1 Gasto Público Total en Salud
(Miles de pesos)
(1 + 2)","1. Gasto Total 
(A+B+C+D+E+F) con SS","A. Advo. Secretaria de Salud
(Ramo 12)",B. FASSA (Ramo 33),"C. IMSS 
Prospera","D. SEDENA
(Ramo 7)","E. SEMAR
(Ramo 13)","F. Gasto 
Estatal","2. Gasto Total
(A+B+C+D+E) sin SS",A. IMSS,B. ISSSTE,C. PEMEX,D. ISSFAM,E. ISSES,"I.2 Gasto Privado Total en Salud
(Miles de pesos constantes)
(A + B + C)",A. Gasto de los Hogares e ISFL,B. Cuotas de Recuperación,C. Pago de Primas,Gasto  público total en salud como % del PIB,Gasto total en salud como % del PIB,Gasto público total en salud como % del gasto total en salud,Gasto público total en salud como % del gasto público total,Gasto público en salud per cápita para población con seguridad social,Gasto público en salud per cápita para población sin seguridad social ,Gasto público en salud per cápita total,Aportación federal al financiamiento de la salud de la población sin seguridad social (%),Gasto privado en salud per cápita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No distribuible,1993,,n.d.,16014363.31,16014363.31,16014363.31,n.d.,n.d.,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,1994,9259520990.90,521613923.18,241667101.02,47196374.12,47196374.12,n.d.,n.d.,n.d.,n.d.,n.d.,194470726.91,162214428.33,26020695.76,6235602.82,n.d.,n.d.,279946822.16,270295494.34,n.d.,9651327.82,2.6,5.6,46.3,14.9,n.d.,n.d.,2597.03,n.d.,3008.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,1994,87414225.31,n.d.,2180018.97,298216.34,298216.34,n.d.,n.d.,n.d.,n.d.,n.d.,1881802.63,1683465.75,198336.88,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.5,n.d.,n.d.,9.4,n.d.,n.d.,2416.53,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,1994,248902912.58,n.d.,6743746.75,589527.93,589527.93,n.d.,n.d.,n.d.,n.d.,n.d.,6154218.82,5652361.53,501857.28,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.7,n.d.,n.d.,25.6,n.d.,n.d.,3276.53,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California Sur,1994,44451820.56,n.d.,1908586.37,304885.70,304885.70,n.d.,n.d.,n.d.,n.d.,n.d.,1603700.67,1278544.11,325156.56,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.3,n.d.,n.d.,23.2,n.d.,n.d.,4919.11,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campeche,1994,99682456.35,n.d.,1812124.73,363963.94,363963.94,n.d.,n.d.,n.d.,n.d.,n.d.,1448160.79,1032672.75,197862.22,217625.82,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.8,n.d.,n.d.,6.1,n.d.,n.d.,2948.01,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coahuila de Zaragoza,1994,245779981.19,n.d.,7424997.54,564921.23,564921.23,n.d.,n.d.,n.d.,n.d.,n.d.,6860076.30,6327943.79,532132.52,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.0,n.d.,n.d.,23.4,n.d.,n.d.,3440.04,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima,1994,46135749.23,n.d.,1491616.32,308295.69,308295.69,n.d.,n.d.,n.d.,n.d.,n.d.,1183320.63,1018635.07,164685.56,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.2,n.d.,n.d.,11.6,n.d.,n.d.,2929.00,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiapas,1994,153737115.06,n.d.,4897784.87,2412850.86,2412850.86,n.d.,n.d.,n.d.,n.d.,n.d.,2484934.01,2024073.54,414789.74,46070.72,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.2,n.d.,n.d.,11.8,n.d.,n.d.,1343.77,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,1994,325897127.92,n.d.,7667186.37,827369.19,827369.19,n.d.,n.d.,n.d.,n.d.,n.d.,6839817.18,6290440.42,526126.24,23250.52,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.4,n.d.,n.d.,24.4,n.d.,n.d.,2907.61,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
